Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Abadia de Goiás";"GO";"9158";"Sim";"28,06%";"64%";"31,97%";"Não há"
"Abadia dos Dourados";"MG";"7022";"Em elaboração";"42,88%";"--";"37,51%";"--"
"Abadiânia";"GO";"20873";"Não";"2,92%";"32,95%";"Atendimento Pleno";"--"
"Abaeté";"MG";"23263";"Sim";"15,34%";"90,83%";"13,16%";"0,7%"
"Abaetetuba";"PA";"160439";"Em elaboração";"87,04%";"--";"28,84%";"0,9%"
"Abaiara";"CE";"11965";"Não";"69,01%";"--";"56,63%";"--"
"Abaíra";"BA";"8681";"Não";"--";"--";"--";"--"
"Abaré";"BA";"20594";"Não";"40,29%";"68,35%";"--";"--"
"Abatiá";"PR";"7360";"Não";"Atendimento Pleno";"81,66%";"26,63%";"Não há"
"Abdon Batista";"SC";"2534";"Sim";"Atendimento Pleno";"72,69%";"49,72%";"Não há"
"Abel Figueiredo";"PA";"7536";"Sim";"11%";"--";"Atendimento Pleno";"2%"
"Abelardo Luz";"SC";"18015";"Sim";"29,66%";"--";"44,04%";"0,4%"
"Abre Campo";"MG";"13434";"Sim";"30,36%";"30,36%";"18,04%";"1,9%"
"Abreu e Lima";"PE";"100698";"Não";"12,01%";"76,64%";"1%";"17,8%"
"Abreulândia";"TO";"2609";"Não";"38,25%";"--";"38,25%";"Não há"
"Acaiaca";"MG";"3995";"Sim";"1,88%";"36,1%";"0,13%";"56,5%"
"Açailândia";"MA";"113783";"Não";"-7,7%";"98,61%";"2,45%";"7,9%"
"Acajutiba";"BA";"15214";"Não";"13,02%";"--";"7,98%";"Não há"
"Acará";"PA";"55744";"Não";"86,28%";"--";"--";"--"
"Acarape";"CE";"15140";"Em elaboração";"65,95%";"89,04%";"40,42%";"Não há"
"Acaraú";"CE";"63556";"Em elaboração";"68,22%";"94,84%";"50,93%";"Não há"
"Acari";"RN";"11106";"Em elaboração";"5,22%";"19,33%";"18,96%";"4,6%"
"Acauã";"PI";"7119";"Em elaboração";"70,29%";"--";"71,91%";"Não há"
"Aceguá";"RS";"4981";"Sim";"75,79%";"--";"40,01%";"--"
"Acopiara";"CE";"54687";"Em elaboração";"67,93%";"92,94%";"--";"--"
"Acorizal";"MT";"5309";"Sim";"--";"--";"--";"--"
"Acrelândia";"AC";"15721";"Em elaboração";"64,45%";"--";"46,45%";"Não há"
"Acreúna";"GO";"22710";"Não";"15,13%";"61,81%";"7,53%";"Não há"
"Açu";"RN";"58743";"Sim";"21,38%";"--";"15%";"1%"
"Açucena";"MG";"9270";"Sim";"63,65%";"52,54%";"43,91%";"0,4%"
"Adamantina";"SP";"35153";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"3,28%";"0,1%"
"Adelândia";"GO";"2515";"Em elaboração";"9,07%";"--";"68,19%";"Não há"
"Adolfo";"SP";"3545";"Sim";"Atendimento Pleno";"Atendimento Pleno";"--";"Não há"
"Adrianópolis";"PR";"5797";"Sim";"30,4%";"--";"48,25%";"41,1%"
"Adustina";"BA";"17209";"Não";"35,86%";"82,26%";"50,5%";"10,9%"
"Afogados da Ingazeira";"PE";"37546";"Sim";"Atendimento Pleno";"88,38%";"22,76%";"5%"
"Afonso Bezerra";"RN";"11024";"Não";"47,33%";"56,4%";"--";"--"
"Afonso Cláudio";"ES";"30326";"Sim";"56,1%";"15,24%";"34,05%";"4,4%"
"Afonso Cunha";"MA";"6631";"Não";"78,59%";"--";"9,52%";"--"
"Afrânio";"PE";"19981";"Não";"42,83%";"49,95%";"49,95%";"--"
"Afuá";"PA";"39910";"Não";"87,18%";"--";"73,42%";"Não há"
"Agrestina";"PE";"25240";"Não";"Atendimento Pleno";"21,35%";"0,69%";"Não há"
"Agricolândia";"PI";"5123";"Sim";"19,64%";"--";"--";"--"
"Agrolândia";"SC";"11160";"Sim";"17,52%";"--";"5,91%";"14,3%"
"Agronômica";"SC";"5570";"Sim";"39,61%";"--";"62,12%";"15,9%"
"Água Azul do Norte";"PA";"27797";"Em elaboração";"71,51%";"--";"--";"--"
"Água Boa";"MG";"13319";"Sim";"48,37%";"--";"36,93%";"20%"
"Água Boa";"MT";"26679";"Em elaboração";"17,77%";"98,31%";"2,17%";"Não há"
"Água Branca";"AL";"20263";"Em elaboração";"36,26%";"--";"73,72%";"0,3%"
"Água Branca";"PB";"10375";"Em elaboração";"78,92%";"56,63%";"57,02%";"0,7%"
"Água Branca";"PI";"17525";"Sim";"2,09%";"57,9%";"10,7%";"Não há"
"Água Clara";"MS";"16025";"Não";"34,12%";"--";"33,46%";"Não há"
"Água Comprida";"MG";"1986";"Sim";"23,77%";"0,05%";"24,92%";"Não há"
"Água Doce";"SC";"7160";"Sim";"41,63%";"99,99%";"50,68%";"4,1%"
"Água Doce do Maranhão";"MA";"12731";"Em elaboração";"--";"--";"60,73%";"--"
"Água Doce do Norte";"ES";"10801";"Em elaboração";"54,27%";"--";"51,78%";"6,2%"
"Água Fria";"BA";"17096";"Em elaboração";"63,44%";"--";"--";"Não há"
"Água Fria de Goiás";"GO";"5843";"Em elaboração";"59,32%";"--";"--";"Não há"
"Água Limpa";"GO";"1809";"Sim";"23%";"--";"33,67%";"Não há"
"Água Nova";"RN";"3293";"Em elaboração";"27,6%";"--";"8,9%";"1,7%"
"Água Preta";"PE";"37386";"Não";"27,51%";"--";"--";"--"
"Água Santa";"RS";"3738";"Sim";"61,13%";"--";"30,71%";"Não há"
"Aguaí";"SP";"36981";"Sim";"8,02%";"10,37%";"9,79%";"Não há"
"Aguanil";"MG";"4557";"Não";"36,36%";"41,85%";"21%";"Não há"
"Águas Belas";"PE";"43923";"Não";"51,89%";"62,66%";"31,7%";"5,4%"
"Águas da Prata";"SP";"8262";"Sim";"2,77%";"8,41%";"10,72%";"2,4%"
"Águas de Chapecó";"SC";"6544";"Sim";"40,25%";"--";"47,04%";"33,9%"
"Águas de Lindóia";"SP";"18908";"Sim";"Atendimento Pleno";"Atendimento Pleno";"0,9%";"1,2%"
"Águas de Santa Bárbara";"SP";"6142";"Em elaboração";"17,44%";"43,65%";"Atendimento Pleno";"3%"
"Águas de São Pedro";"SP";"3588";"Sim";"2,81%";"7,5%";"Atendimento Pleno";"Não há"
"Águas Formosas";"MG";"19285";"Em elaboração";"24,45%";"96,24%";"27,4%";"5,4%"
"Águas Frias";"SC";"2341";"Não";"44,6%";"--";"59,55%";"Não há"
"Águas Lindas de Goiás";"GO";"222850";"Em elaboração";"3,21%";"53,81%";"0,15%";"Não há"
"Águas Mornas";"SC";"6646";"Sim";"54,23%";"--";"32,29%";"22,1%"
"Águas Vermelhas";"MG";"13656";"Não";"30,13%";"71,77%";"29,72%";"Não há"
"Agudo";"RS";"16344";"Não";"56,33%";"--";"51,05%";"0,4%"
"Agudos";"SP";"37582";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"Não há"
"Agudos do Sul";"PR";"9567";"Sim";"37,36%";"80,1%";"43,03%";"Não há"
"Águia Branca";"ES";"9621";"Não";"71,04%";"67,95%";"42,83%";"Não há"
"Aguiar";"PB";"5622";"Não";"36,93%";"--";"51,16%";"Não há"
"Aguiarnópolis";"TO";"7049";"Não";"15,12%";"76,21%";"19,76%";"Não há"
"Aimorés";"MG";"25116";"Sim";"Atendimento Pleno";"8,85%";"16,39%";"15,7%"
"Aiquara";"BA";"4387";"Não";"41,76%";"41,37%";"39,32%";"1,9%"
"Aiuaba";"CE";"17584";"Não";"40,97%";"--";"38,01%";"Não há"
"Aiuruoca";"MG";"5949";"Sim";"47,25%";"47,25%";"16,36%";"5,5%"
"Ajuricaba";"RS";"6951";"Sim";"43,12%";"85,61%";"13,68%";"0,6%"
"Alagoa";"MG";"2657";"Não";"--";"--";"--";"--"
"Alagoa Grande";"PB";"28384";"Sim";"27,59%";"69,47%";"15,1%";"25,2%"
"Alagoa Nova";"PB";"20992";"Não";"57%";"--";"--";"--"
"Alagoinha";"PB";"14629";"Não";"--";"--";"33,77%";"1,9%"
"Alagoinha";"PE";"14798";"Não";"47,67%";"71,75%";"Atendimento Pleno";"2,4%"
"Alagoinha do Piauí";"PI";"7678";"Não";"59,05%";"--";"35,01%";"Não há"
"Alagoinhas";"BA";"153023";"Sim";"2,86%";"63,93%";"21,58%";"--"
"Alambari";"SP";"6231";"Sim";"16%";"50,73%";"24,81%";"Não há"
"Albertina";"MG";"3015";"Não";"--";"--";"--";"--"
"Alcântara";"MA";"22126";"Não";"72,06%";"--";"--";"--"
"Alcântaras";"CE";"11846";"Não";"77,44%";"89,03%";"67,99%";"Não há"
"Alcantil";"PB";"5527";"Sim";"--";"--";"60,61%";"Não há"
"Alcinópolis";"MS";"5489";"Sim";"32,05%";"32,72%";"30,77%";"Não há"
"Alcobaça";"BA";"22509";"Sim";"48,41%";"--";"--";"Não há"
"Aldeias Altas";"MA";"26979";"Não";"76,17%";"--";"--";"Não há"
"Alecrim";"RS";"5710";"Sim";"69,26%";"--";"84,24%";"Não há"
"Alegre";"ES";"29869";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"21,32%";"38,4%"
"Alegrete";"RS";"72493";"Sim";"10,38%";"78,76%";"10,38%";"7,4%"
"Alegrete do Piauí";"PI";"4921";"Sim";"18,72%";"--";"--";"5,3%"
"Alegria";"RS";"3287";"Sim";"Atendimento Pleno";"--";"50,68%";"4,8%"
"Além Paraíba";"MG";"35438";"Sim";"20,16%";"42,85%";"1,24%";"--"
"Alenquer";"PA";"57390";"Não";"86,59%";"--";"40%";"--"
"Alexandria";"RN";"13529";"Em elaboração";"0,21%";"47,59%";"31,97%";"1,3%"
"Alexânia";"GO";"28360";"Não";"17,81%";"--";"17,38%";"Não há"
"Alfenas";"MG";"80973";"Sim";"13,98%";"15,95%";"2,68%";"Não há"
"Alfredo Chaves";"ES";"14670";"Em elaboração";"14,79%";"20,93%";"27,61%";"9,5%"
"Alfredo Marcondes";"SP";"4201";"Sim";"Atendimento Pleno";"1,19%";"16,35%";"0,4%"
"Alfredo Vasconcelos";"MG";"7052";"Não";"37,42%";"33,65%";"2,06%";"Não há"
"Alfredo Wagner";"SC";"10136";"Sim";"61,21%";"--";"73,62%";"24%"
"Algodão de Jandaíra";"PB";"2588";"Não";"Sem Atendimento";"--";"47,95%";"Não há"
"Alhandra";"PB";"19865";"Em elaboração";"17,2%";"92,77%";"4,35%";"4,5%"
"Aliança";"PE";"38408";"Não";"15,88%";"--";"8,87%";"1%"
"Aliança do Tocantins";"TO";"5303";"Sim";"10,92%";"--";"16,14%";"Não há"
"Almadina";"BA";"5273";"Não";"20,22%";"--";"--";"--"
"Almas";"TO";"6905";"Não";"13,9%";"--";"19,94%";"Não há"
"Almeirim";"PA";"34044";"Não";"17,75%";"--";"26,57%";"48,6%"
"Almenara";"MG";"42380";"Em elaboração";"20,5%";"28,18%";"16%";"6,7%"
"Almino Afonso";"RN";"4685";"Em elaboração";"29,35%";"--";"28,58%";"--"
"Almirante Tamandaré";"PR";"121420";"Sim";"0,01%";"40,57%";"1,71%";"20%"
"Almirante Tamandaré do Sul";"RS";"1935";"Sim";"--";"--";"40,16%";"Não há"
"Aloândia";"GO";"1976";"Em elaboração";"9,56%";"--";"--";"--"
"Alpercata";"MG";"7448";"Sim";"37,86%";"21,21%";"21,08%";"3,1%"
"Alpestre";"RS";"5885";"Sim";"72,46%";"--";"72,46%";"7,5%"
"Alpinópolis";"MG";"20059";"Sim";"24,29%";"26,53%";"18,92%";"0,2%"
"Alta Floresta";"MT";"52105";"Em elaboração";"13,35%";"55,67%";"7,88%";"2,9%"
"Alta Floresta D'Oeste";"RO";"22516";"Sim";"53,28%";"--";"40,59%";"0,6%"
"Altair";"SP";"4211";"Sim";"18,19%";"18,69%";"--";"--"
"Altamira";"PA";"117320";"Não";"57,91%";"57,91%";"15,12%";"Não há"
"Altamira do Maranhão";"MA";"8250";"Não";"91,76%";"--";"--";"Não há"
"Altamira do Paraná";"PR";"1429";"Sim";"0,07%";"40,8%";"--";"--"
"Altaneira";"CE";"7712";"Não";"47,89%";"92,17%";"22,2%";"--"
"Alterosa";"MG";"14566";"Não";"27,71%";"Atendimento Pleno";"27,08%";"Não há"
"Altinho";"PE";"22996";"Não";"7,95%";"--";"42,84%";"Não há"
"Altinópolis";"SP";"16221";"Sim";"12,63%";"12,63%";"7,53%";"Não há"
"Alto Alegre";"RR";"15249";"Não";"60,44%";"--";"--";"--"
"Alto Alegre";"RS";"1590";"Sim";"59,81%";"--";"37,11%";"Não há"
"Alto Alegre";"SP";"4078";"Sim";"9,44%";"12,56%";"Atendimento Pleno";"Não há"
"Alto Alegre do Maranhão";"MA";"28066";"Em elaboração";"33,85%";"--";"3,86%";"Não há"
"Alto Alegre do Pindaré";"MA";"31967";"Em elaboração";"73,02%";"--";"53,08%";"9,1%"
"Alto Alegre dos Parecis";"RO";"13268";"Não";"76,8%";"--";"62,32%";"Não há"
"Alto Araguaia";"MT";"19714";"Sim";"1,67%";"94,95%";"3,4%";"Não há"
"Alto Bela Vista";"SC";"1915";"Sim";"Atendimento Pleno";"--";"69,82%";"5,6%"
"Alto Boa Vista";"MT";"7092";"Em elaboração";"--";"--";"--";"--"
"Alto Caparaó";"MG";"5938";"Não";"25,43%";"25,43%";"Atendimento Pleno";"3,7%"
"Alto do Rodrigues";"RN";"14923";"Em elaboração";"35,32%";"98,7%";"Atendimento Pleno";"28,3%"
"Alto Feliz";"RS";"3043";"Sim";"15,12%";"--";"48,73%";"Não há"
"Alto Garças";"MT";"12323";"Em elaboração";"3,03%";"--";"8,65%";"Não há"
"Alto Horizonte";"GO";"6796";"Em elaboração";"17,73%";"--";"14,24%";"Não há"
"Alto Jequitibá";"MG";"8286";"Sim";"52,58%";"Atendimento Pleno";"48,31%";"8,9%"
"Alto Longá";"PI";"14371";"Não";"70,84%";"--";"--";"--"
"Alto Paraguai";"MT";"11587";"Em elaboração";"--";"--";"--";"--"
"Alto Paraíso";"PR";"2630";"Sim";"0,04%";"71,33%";"--";"--"
"Alto Paraíso";"RO";"22258";"Sim";"93,7%";"--";"52,13%";"Não há"
"Alto Paraíso de Goiás";"GO";"7751";"Em elaboração";"23,92%";"--";"16,14%";"Não há"
"Alto Paraná";"PR";"14945";"Sim";"0,01%";"34,08%";"12,35%";"Não há"
"Alto Parnaíba";"MA";"11233";"Em elaboração";"34,75%";"--";"73,29%";"Não há"
"Alto Piquiri";"PR";"9722";"Não";"0,01%";"33,94%";"17,71%";"1,9%"
"Alto Rio Doce";"MG";"10723";"Sim";"58,64%";"49,71%";"58,3%";"Não há"
"Alto Rio Novo";"ES";"7911";"Em elaboração";"53,07%";"--";"33,64%";"3,6%"
"Alto Santo";"CE";"16077";"Em elaboração";"68,12%";"--";"37,8%";"7,7%"
"Alto Taquari";"MT";"11413";"Em elaboração";"Atendimento Pleno";"--";"9,28%";"Não há"
"Altônia";"PR";"22293";"Sim";"14,73%";"48,08%";"25,99%";"0,4%"
"Altos";"PI";"40681";"Não";"23,55%";"94,78%";"21,34%";"1,5%"
"Alumínio";"SP";"18903";"Não";"15,83%";"38,88%";"Atendimento Pleno";"1,2%"
"Alvarães";"AM";"16396";"Não";"83,39%";"--";"--";"--"
"Alvarenga";"MG";"3783";"Sim";"47,08%";"39,2%";"44,44%";"3%"
"Álvares Florence";"SP";"3616";"Sim";"34,35%";"34,35%";"32,05%";"Não há"
"Álvares Machado";"SP";"25078";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"9,91%";"Não há"
"Álvaro de Carvalho";"SP";"5320";"Em elaboração";"34,1%";"35,83%";"6,02%";"0,9%"
"Alvinlândia";"SP";"3251";"Em elaboração";"2,46%";"3,54%";"10,61%";"Não há"
"Alvinópolis";"MG";"15135";"Sim";"44,47%";"Atendimento Pleno";"14,33%";"1,2%"
"Alvorada";"RS";"212352";"Sim";"Atendimento Pleno";"64,12%";"Atendimento Pleno";"3,3%"
"Alvorada";"TO";"8381";"Sim";"5,36%";"--";"7,28%";"Não há"
"Alvorada D'Oeste";"RO";"13807";"Em elaboração";"43,95%";"50,01%";"47,64%";"0,3%"
"Alvorada de Minas";"MG";"3605";"Sim";"69,82%";"58,39%";"29,57%";"0,5%"
"Alvorada do Gurguéia";"PI";"5469";"Não";"6,75%";"--";"51,03%";"Não há"
"Alvorada do Norte";"GO";"8749";"Sim";"13,93%";"18,18%";"Atendimento Pleno";"--"
"Alvorada do Sul";"PR";"11598";"Sim";"3,97%";"--";"28,64%";"Não há"
"Amajari";"RR";"13561";"Não";"77,74%";"--";"86,93%";"5,1%"
"Amambai";"MS";"40247";"Sim";"36,22%";"67,65%";"25,46%";"1,2%"
"Amapá";"AP";"9265";"Em elaboração";"76,23%";"95,5%";"Atendimento Pleno";"Não há"
"Amapá do Maranhão";"MA";"7047";"Não";"--";"--";"--";"--"
"Amaporã";"PR";"6405";"Sim";"14,85%";"54,71%";"20,45%";"Não há"
"Amaraji";"PE";"22910";"Não";"--";"--";"26,87%";"24,7%"
"Amaral Ferrador";"RS";"7136";"Em elaboração";"74,43%";"--";"29,93%";"Não há"
"Amaralina";"GO";"3875";"Em elaboração";"67,87%";"--";"67,95%";"Não há"
"Amarante";"PI";"17609";"Não";"41,13%";"--";"48,8%";"Não há"
"Amarante do Maranhão";"MA";"42017";"Em elaboração";"88,07%";"--";"60,44%";"--"
"Amargosa";"BA";"37631";"Sim";"27,48%";"97,76%";"12,31%";"2%"
"Amaturá";"AM";"11934";"Em elaboração";"--";"--";"47,6%";"--"
"Amélia Rodrigues";"BA";"24997";"Sim";"18,84%";"--";"11,99%";"0,2%"
"América Dourada";"BA";"16086";"Não";"20,56%";"--";"7,37%";"--"
"Americana";"SP";"244370";"Sim";"Atendimento Pleno";"Atendimento Pleno";"0,47%";"Não há"
"Americano do Brasil";"GO";"6220";"Em elaboração";"14,1%";"--";"14,34%";"Não há"
"Américo Brasiliense";"SP";"41545";"Sim";"1,23%";"1,23%";"0,76%";"Não há"
"Américo de Campos";"SP";"5993";"Não";"14,3%";"14,3%";"16,09%";"Não há"
"Ametista do Sul";"RS";"7396";"Sim";"47,96%";"--";"Atendimento Pleno";"Não há"
"Amontada";"CE";"44195";"Não";"--";"--";"--";"--"
"Amorinópolis";"GO";"3011";"Em elaboração";"31,95%";"--";"39,85%";"Não há"
"Amparo";"PB";"2264";"Não";"Sem Atendimento";"50,49%";"49,12%";"Não há"
"Amparo";"SP";"73145";"Em elaboração";"21,29%";"25,24%";"Atendimento Pleno";"2,5%"
"Amparo de São Francisco";"SE";"2386";"Não";"0,21%";"--";"20,37%";"Não há"
"Amparo do Serra";"MG";"4643";"Não";"46,37%";"--";"--";"--"
"Ampére";"PR";"19466";"Sim";"0,01%";"24,74%";"22,94%";"--"
"Anadia";"AL";"17507";"Não";"52,62%";"--";"Atendimento Pleno";"--"
"Anagé";"BA";"21229";"Em elaboração";"81,04%";"--";"76,45%";"1%"
"Anahy";"PR";"2774";"Sim";"0,04%";"--";"Atendimento Pleno";"Não há"
"Anajás";"PA";"30091";"Em elaboração";"94,57%";"--";"61,65%";"29,9%"
"Anajatuba";"MA";"27170";"Sim";"64,57%";"--";"44,53%";"Não há"
"Analândia";"SP";"5115";"Em elaboração";"21,52%";"21,52%";"20,61%";"Não há"
"Anamã";"AM";"14292";"Não";"--";"--";"--";"--"
"Ananás";"TO";"9435";"Não";"8,83%";"61,78%";"14,7%";"Não há"
"Ananindeua";"PA";"540410";"Em elaboração";"66,21%";"68,69%";"1%";"11%"
"Anápolis";"GO";"396526";"Em elaboração";"2,03%";"20,5%";"4,13%";"0,1%"
"Anapu";"PA";"29312";"Em elaboração";"--";"--";"52,14%";"--"
"Anapurus";"MA";"16054";"Não";"57,23%";"--";"48,6%";"Não há"
"Anastácio";"MS";"25336";"Sim";"18,28%";"73,89%";"17,46%";"1,4%"
"Anaurilândia";"MS";"9116";"Sim";"49,62%";"77,67%";"49,11%";"Não há"
"Anchieta";"ES";"30285";"Sim";"35,76%";"73,69%";"Atendimento Pleno";"0,2%"
"Anchieta";"SC";"5477";"Sim";"24,41%";"--";"59,47%";"Não há"
"Andaraí";"BA";"13122";"Não";"44,69%";"--";"14,94%";"Não há"
"Andirá";"PR";"19823";"Em elaboração";"6,11%";"43,85%";"6,11%";"Não há"
"Andorinha";"BA";"14416";"Em elaboração";"46%";"--";"51,44%";"3,8%"
"Andradas";"MG";"41704";"Em elaboração";"26,6%";"24,99%";"Atendimento Pleno";"4,1%"
"Andradina";"SP";"57245";"Sim";"Atendimento Pleno";"6,66%";"6,66%";"0,9%"
"André da Rocha";"RS";"1351";"Não";"3,03%";"--";"29,76%";"Não há"
"Andrelândia";"MG";"12189";"Não";"24,06%";"Atendimento Pleno";"19,41%";"Não há"
"Angatuba";"SP";"25724";"Sim";"12,96%";"31,91%";"10%";"Não há"
"Angelândia";"MG";"8594";"Não";"40,4%";"41,35%";"--";"1%"
"Angélica";"MS";"11081";"Sim";"17,09%";"50,59%";"1,34%";"Não há"
"Angelim";"PE";"11301";"Em elaboração";"21,1%";"--";"--";"--"
"Angelina";"SC";"4686";"Sim";"76,74%";"--";"Atendimento Pleno";"3,2%"
"Angical";"BA";"13902";"Sim";"53,99%";"--";"53,47%";"2,8%"
"Angical do Piauí";"PI";"6779";"Sim";"25,18%";"--";"27,72%";"4,8%"
"Angico";"TO";"3475";"Não";"28,2%";"--";"30,94%";"--"
"Angicos";"RN";"11695";"Não";"Atendimento Pleno";"--";"--";"--"
"Angra dos Reis";"RJ";"210171";"Sim";"13,66%";"44,86%";"2,68%";"9,9%"
"Anguera";"BA";"11369";"Em elaboração";"46,67%";"--";"55,62%";"Não há"
"Ângulo";"PR";"2931";"Em elaboração";"9,59%";"--";"6,11%";"0,3%"
"Anhanguera";"GO";"1171";"Em elaboração";"5,72%";"--";"77,8%";"--"
"Anhembi";"SP";"6911";"Não";"23,38%";"27,32%";"34,89%";"0,4%"
"Anhumas";"SP";"4172";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"18,17%";"Não há"
"Anicuns";"GO";"22113";"Sim";"13,72%";"61,72%";"14,38%";"Não há"
"Anísio de Abreu";"PI";"9994";"Em elaboração";"42,07%";"--";"26,01%";"Não há"
"Anita Garibaldi";"SC";"6783";"Sim";"13,4%";"--";"39,55%";"--"
"Anitápolis";"SC";"3223";"Sim";"49,43%";"--";"37,95%";"12,3%"
"Anori";"AM";"21937";"Sim";"--";"--";"11,56%";"--"
"Anta Gorda";"RS";"5941";"Não";"--";"--";"61,62%";"Não há"
"Antas";"BA";"19659";"Não";"49,7%";"38,96%";"34,89%";"Não há"
"Antonina";"PR";"18919";"Sim";"Atendimento Pleno";"--";"24,94%";"11,5%"
"Antonina do Norte";"CE";"7402";"Não";"41,6%";"59,47%";"16,27%";"1,1%"
"Antônio Almeida";"PI";"3175";"Sim";"1,64%";"-21,64%";"26,93%";"1,4%"
"Antônio Cardoso";"BA";"11670";"Não";"69,62%";"--";"--";"--"
"Antônio Carlos";"MG";"11471";"Sim";"30,56%";"3,54%";"12,82%";"5%"
"Antônio Carlos";"SC";"8712";"Sim";"18,34%";"--";"44,64%";"7,5%"
"Antônio Dias";"MG";"9233";"Sim";"60,64%";"--";"--";"--"
"Antônio Gonçalves";"BA";"11955";"Em elaboração";"29,21%";"--";"43,12%";"Não há"
"Antônio João";"MS";"9082";"Em elaboração";"17,64%";"62,01%";"16,81%";"Não há"
"Antônio Martins";"RN";"7162";"Não";"57,93%";"77,38%";"45,21%";"Não há"
"Antônio Olinto";"PR";"7421";"Sim";"61,92%";"--";"64,96%";"Não há"
"Antônio Prado";"RS";"13041";"Sim";"28,03%";"--";"28,03%";"Não há"
"Antônio Prado de Minas";"MG";"1577";"Sim";"37,6%";"--";"Atendimento Pleno";"0,7%"
"Aparecida";"PB";"8482";"Não";"38,54%";"46,95%";"50,39%";"18,7%"
"Aparecida";"SP";"36211";"Sim";"1,46%";"14,27%";"Atendimento Pleno";"27,3%"
"Aparecida d'Oeste";"SP";"4122";"Sim";"5,75%";"8,42%";"18,1%";"Não há"
"Aparecida de Goiânia";"GO";"601844";"Em elaboração";"20,81%";"41,31%";"Atendimento Pleno";"--"
"Aparecida do Rio Doce";"GO";"2474";"Sim";"17,83%";"17,83%";"59,58%";"Não há"
"Aparecida do Rio Negro";"TO";"4901";"Sim";"21,36%";"--";"Atendimento Pleno";"1,6%"
"Aparecida do Taboado";"MS";"26386";"Não";"10,86%";"72,78%";"9,96%";"0,4%"
"Aperibé";"RJ";"12036";"Em elaboração";"13,07%";"8,61%";"Atendimento Pleno";"51,8%"
"Apiacá";"ES";"7542";"Em elaboração";"39,01%";"--";"13,82%";"--"
"Apiacás";"MT";"10431";"Sim";"55,42%";"--";"Atendimento Pleno";"0,9%"
"Apiaí";"SP";"24081";"Em elaboração";"15,04%";"43,91%";"0,34%";"0,1%"
"Apicum-Açu";"MA";"17582";"Não";"1,29%";"--";"--";"--"
"Apiúna";"SC";"10951";"Sim";"25,76%";"--";"38,9%";"10,9%"
"Apodi";"RN";"35904";"Em elaboração";"24%";"--";"--";"--"
"Aporá";"BA";"17840";"Não";"36,84%";"--";"--";"--"
"Aporé";"GO";"4266";"Em elaboração";"32,79%";"--";"34,36%";"--"
"Apuarema";"BA";"7274";"Não";"31,47%";"--";"--";"--"
"Apucarana";"PR";"137438";"Em elaboração";"0,01%";"10,14%";"5,64%";"Não há"
"Apuí";"AM";"22739";"Não";"--";"--";"56,02%";"Não há"
"Apuiarés";"CE";"14742";"Não";"70,32%";"--";"29,79%";"--"
"Aquidabã";"SE";"21796";"Em elaboração";"1,28%";"--";"23,14%";"Não há"
"Aquidauana";"MS";"48184";"Em elaboração";"22,03%";"84,72%";"21,24%";"2,7%"
"Aquiraz";"CE";"81581";"Em elaboração";"72,39%";"85,01%";"Atendimento Pleno";"Não há"
"Arabutã";"SC";"4268";"Sim";"50,8%";"--";"68,84%";"7,2%"
"Araçagi";"PB";"16857";"Não";"38,05%";"--";"--";"--"
"Araçaí";"MG";"2360";"Sim";"25,72%";"--";"--";"--"
"Aracaju";"SE";"672614";"Em elaboração";"1,97%";"44,76%";"Atendimento Pleno";"1,6%"
"Araçariguama";"SP";"23343";"Sim";"34,74%";"58,41%";"2,07%";"1%"
"Araças";"BA";"12237";"Não";"32,99%";"--";"3,57%";"--"
"Aracati";"CE";"75392";"Em elaboração";"55,04%";"86,34%";"21,74%";"1,3%"
"Aracatu";"BA";"12960";"Não";"67,57%";"--";"61,42%";"Não há"
"Araçatuba";"SP";"199210";"Não";"1,93%";"3,34%";"5%";"0,9%"
"Araci";"BA";"54903";"Não";"35,27%";"62,3%";"38,02%";"Não há"
"Aracitaba";"MG";"2056";"Não";"24,22%";"20,28%";"20,28%";"7,5%"
"Aracoiaba";"CE";"26600";"Sim";"65,55%";"--";"2,26%";"17,8%"
"Araçoiaba";"PE";"20936";"Sim";"71,16%";"--";"20,78%";"1,1%"
"Araçoiaba da Serra";"SP";"35389";"Não";"Atendimento Pleno";"66,7%";"Atendimento Pleno";"15,7%"
"Aracruz";"ES";"104942";"Sim";"9,05%";"20,73%";"4,71%";"1,1%"
"Araçu";"GO";"3450";"Em elaboração";"4,58%";"11,71%";"11,71%";"Não há"
"Araçuaí";"MG";"36715";"Sim";"28,87%";"56,3%";"34,93%";"0,6%"
"Aragarças";"GO";"20410";"Em elaboração";"3,08%";"--";"3,76%";"Não há"
"Aragoiânia";"GO";"10680";"Sim";"35,14%";"--";"6,37%";"Não há"
"Aragominas";"TO";"5705";"Em elaboração";"35,83%";"--";"58,81%";"Não há"
"Araguacema";"TO";"7223";"Não";"35,15%";"--";"53,69%";"Não há"
