Par&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2014],PIB per capita - R$ [2020],
Capit&atilde;o Po&ccedil;o,1502301,capit&atilde;o-pocense,JO&Atilde;O GOMES DE LIMA,2901.026,56332,19.42,95.8,0.548,9.88,83086.54745,78024.15638,12951.42,
Castanhal,1502400,castanhalense,PAULO SERGIO RODRIGUES TITAN,1029.300,192262,186.79,95.4,0.673,13.66,370230.94554,346092.10782,21122.55,
Chaves,1502509,chaveense,JOSE RIBAMAR SOUSA DA SILVA,12534.995,20757,1.66,79.7,0.453,14.02,49819.62272,51064.40589,9117.43,
Colares,1502608,colarense,MARIA LUCIMAR BARATA,384.068,12868,33.50,98.6,0.602,7.41,23364.46675,24674.63093,7669.86,
Concei&ccedil;&atilde;o do Araguaia,1502707,conceicionense,JAIR LOPES MARTINS,5829.482,44617,7.65,95.7,0.640,16.83,86490.29694,93647.82954,12955.95,
Conc&oacute;rdia do Par&aacute;,1502756,concordiense,ELIAS GUIMARAES SANTIAGO,700.590,26881,38.37,97,0.566,6.51,71900.00123,80318.64217,9548.28,
Cumaru do Norte,1502764,curaruense,CELIO MARCOS CORDEIRO,17085.001,14036,0.82,85.3,0.550,31.67,39232.66768,37109.63624,29652.99,
Curion&oacute;polis,1502772,curionopolense,MARIANA AZEVEDO DE SOUSA MARQUEZ,2369.096,19950,8.42,97.4,0.636,16.08,67969.95044,67623.84988,36114.66,
Curralinho,1502806,curralinense,CLEBER EDSON DOS SANTOS RODRIGUES,3617.252,33903,9.37,93.8,0.502,21.46,72651.91702,79208.26887,7626.05,
Curu&aacute;,1502855,curuaense,GIVANILDO PICAN&Ccedil;O MARINHO,1431.134,14117,9.86,97.3,0.578,21.19,33051.22417,33495.82325,9612.22,
Curu&ccedil;&aacute;,1502905,curu&ccedil;aense,JEFFERSON FERREIRA DE MIRANDA,676.322,40342,59.65,97,0.582,27.43,60042.56912,59252.6061,8140.03,
Dom Eliseu,1502939,dom-eliseuense,GERSILON SILVA DA GAMA,5268.809,58484,11.10,95.7,0.615,9.57,111042.54493,116470.64336,12952.18,
Eldorado do Caraj&aacute;s,1502954,eldoradense,IARA BRAGA MIRANDA,2956.691,28192,9.53,93.4,0.560,10.92,66937.96285,64441.57028,15342.53,
Faro,1503002,farense,PAULO VITOR MILEO GUERRA CARVALHO,11771.669,8728,0.74,97.9,0.563,26.85,21046.49053,18230.76804,8992.73,
Floresta do Araguaia,1503044,floresta-araguaiense,MAJORRI CERQUEIRA DA SILVA AQUINO SANTIAGO,3444.285,17898,5.20,94.9,0.583,3.36,48893.87844,50330.13044,20176.54,
Garraf&atilde;o do Norte,1503077,garrafaense,MARIA EDILMA ALVES DE LIMA,1608.014,24703,15.36,94.2,0.526,26.67,57724.15995,56175.43101,9819.43,
Goian&eacute;sia do Par&aacute;,1503093,goianesiense,LEONARDO SILVA MENEZES,7023.948,26280,3.74,93.6,0.560,11.99,82360.24299,75321.4936,9054.66,
Gurup&aacute;,1503101,gurupaense,JO&Atilde;O DA CRUZ TEIXEIRA DE SOUZA,8570.286,31788,3.71,88,0.509,12.48,77395.8511,82281.78217,8722.93,
Igarap&eacute;-A&ccedil;u,1503200,igarap&eacute;-a&ccedil;uense,NORMANDO MENEZES DE SOUZA,785.983,35797,45.54,96.2,0.595,25.5,58149.08854,57145.39508,9718.81,
Igarap&eacute;-Miri,1503309,miriense,ROBERTO PINA OLIVEIRA,1996.790,64831,32.47,93.5,0.547,16.78,11742.90105,17950.73834,9957.57,
